date,hv_20d,hv_park,atm_iv,vrp_ratio,ver,vov,signal_vrp,signal_regime,signal_vov,combined_score,entry_signal
2026-01-01,7.5637,5.976,5.6257,0.7438,0.7901,46.6976,BUY,TRENDING,UNSTABLE,0,False
2026-01-02,7.9091,6.3808,6.1473,0.7772,0.8068,43.9447,BUY,NORMAL,UNSTABLE,0,False
2026-01-05,7.7456,6.1529,8.5953,1.1097,0.7944,42.2877,NEUTRAL,TRENDING,UNSTABLE,0,False
2026-01-06,7.1136,5.682,3.5596,0.5004,0.7988,45.6863,BUY,TRENDING,UNSTABLE,0,False
2026-01-07,6.8969,5.4266,6.3246,0.917,0.7868,49.8851,NEUTRAL,TRENDING,UNSTABLE,0,False
2026-01-08,7.7873,5.9808,7.8492,1.0079,0.768,49.8496,NEUTRAL,TRENDING,UNSTABLE,0,False
2026-01-09,7.9919,6.1448,8.4647,1.0592,0.7689,49.4115,NEUTRAL,TRENDING,UNSTABLE,0,False
2026-01-12,7.8512,6.0211,13.2616,1.6891,0.7669,47.4719,SELL,TRENDING,UNSTABLE,1,True
2026-01-13,7.8757,6.1398,2.5531,0.3242,0.7796,46.06,BUY,TRENDING,UNSTABLE,0,False
2026-01-14,7.6088,5.8342,7.6851,1.01,0.7668,42.84,NEUTRAL,TRENDING,UNSTABLE,0,False
2026-01-16,7.6119,5.7955,8.9821,1.18,0.7614,41.0865,NEUTRAL,TRENDING,UNSTABLE,0,False
2026-01-19,7.7429,6.1232,13.098,1.6916,0.7908,40.6531,SELL,TRENDING,UNSTABLE,1,True
2026-01-20,8.7253,6.7635,2.7025,0.3097,0.7752,46.1084,BUY,TRENDING,UNSTABLE,0,False
2026-01-21,8.0064,6.3725,10.8104,1.3502,0.7959,43.2281,SELL,TRENDING,UNSTABLE,1,True
2026-01-22,8.3809,6.7748,9.804,1.1698,0.8084,43.3475,NEUTRAL,NORMAL,UNSTABLE,0,False
2026-01-23,8.8298,7.4292,9.7392,1.103,0.8414,48.4973,NEUTRAL,NORMAL,UNSTABLE,0,False
2026-01-27,9.1603,7.5262,5.3203,0.5808,0.8216,56.1446,BUY,NORMAL,UNSTABLE,0,False
2026-01-28,9.578,7.7461,15.3554,1.6032,0.8087,66.7448,SELL,NORMAL,UNSTABLE,1,True
2026-01-29,9.6868,7.9743,14.035,1.4489,0.8232,75.3351,SELL,NORMAL,UNSTABLE,1,True
2026-01-30,9.2122,7.7002,16.702,1.813,0.8359,78.4459,SELL,NORMAL,UNSTABLE,1,True
2026-02-02,9.5557,8.3801,18.6335,1.95,0.877,82.9408,SELL,NORMAL,UNSTABLE,1,True
2026-02-03,13.2909,9.8263,4.09,0.3077,0.7393,139.1167,BUY,TRENDING,UNSTABLE,0,False
2026-02-04,13.3144,9.7394,11.8962,0.8935,0.7315,173.9142,NEUTRAL,TRENDING,UNSTABLE,0,False
2026-02-05,13.387,9.9338,10.564,0.7891,0.742,196.761,BUY,TRENDING,UNSTABLE,0,False
2026-02-06,13.4283,9.976,8.9206,0.6643,0.7429,211.4893,BUY,TRENDING,UNSTABLE,0,False
2026-02-09,13.2155,9.7052,10.9612,0.8294,0.7344,223.5012,NEUTRAL,TRENDING,UNSTABLE,0,False
2026-02-10,12.9404,9.3172,1.9397,0.1499,0.72,230.6098,BUY,TRENDING,UNSTABLE,0,False
2026-02-11,12.8685,9.0445,7.8135,0.6072,0.7028,233.6167,BUY,TRENDING,UNSTABLE,0,False
2026-02-12,13.0152,9.3157,7.7825,0.598,0.7158,234.7251,BUY,TRENDING,UNSTABLE,0,False
2026-02-13,13.8191,10.1502,8.8365,0.6394,0.7345,235.8465,BUY,TRENDING,UNSTABLE,0,False
2026-02-16,14.1515,10.7182,15.7138,1.1104,0.7574,234.8189,NEUTRAL,TRENDING,UNSTABLE,0,False
2026-02-17,14.0728,10.5129,3.8394,0.2728,0.747,229.5697,BUY,TRENDING,UNSTABLE,0,False
2026-02-18,13.0728,9.6996,8.0526,0.616,0.742,223.0831,BUY,TRENDING,UNSTABLE,0,False
2026-02-19,14.1139,10.5934,10.57,0.7489,0.7506,212.1237,BUY,TRENDING,UNSTABLE,0,False
2026-02-20,14.0866,10.5404,9.9245,0.7045,0.7483,199.5241,BUY,TRENDING,UNSTABLE,0,False
2026-02-23,13.659,10.2184,14.225,1.0414,0.7481,184.7572,NEUTRAL,TRENDING,UNSTABLE,0,False
2026-02-24,14.2814,10.7129,17.1377,1.2,0.7501,171.3031,NEUTRAL,TRENDING,UNSTABLE,0,False
2026-02-25,14.1161,10.3674,12.0855,0.8562,0.7344,156.6819,NEUTRAL,TRENDING,UNSTABLE,0,False
2026-02-26,14.0801,10.173,10.3041,0.7318,0.7225,137.9944,BUY,TRENDING,UNSTABLE,0,False
2026-02-27,14.7306,10.8615,11.989,0.8139,0.7373,105.8145,NEUTRAL,TRENDING,UNSTABLE,0,False
2026-03-02,15.0386,11.1228,18.0463,1.2,0.7396,60.7793,NEUTRAL,TRENDING,UNSTABLE,0,False
2026-03-04,12.5979,10.3653,24.81,1.9694,0.8228,65.2506,SELL,NORMAL,UNSTABLE,1,True
2026-03-05,13.4844,11.1359,16.8462,1.2493,0.8258,64.8322,NEUTRAL,NORMAL,UNSTABLE,0,False
2026-03-06,13.9867,11.7422,21.673,1.5496,0.8395,64.6561,SELL,NORMAL,UNSTABLE,1,True
2026-03-09,14.8536,12.968,39.4734,2.6575,0.8731,68.7859,SELL,NORMAL,UNSTABLE,1,True
2026-03-10,15.1519,13.2013,18.1823,1.2,0.8713,73.4583,NEUTRAL,NORMAL,UNSTABLE,0,False
2026-03-11,15.6777,14.2954,22.474,1.4335,0.9118,79.7509,SELL,NORMAL,UNSTABLE,1,True
2026-03-12,15.6794,14.9991,22.3021,1.4224,0.9566,82.68,SELL,NORMAL,UNSTABLE,1,True
2026-03-13,16.7019,16.2052,24.3888,1.4602,0.9703,95.3837,SELL,NORMAL,UNSTABLE,1,True
2026-03-16,17.4174,16.0433,30.043,1.7249,0.9211,116.162,SELL,NORMAL,UNSTABLE,1,True
2026-03-17,17.331,15.9688,3.2218,0.1859,0.9214,131.233,BUY,NORMAL,UNSTABLE,0,False
2026-03-18,17.787,16.4962,17.3474,0.9753,0.9274,147.1101,NEUTRAL,NORMAL,UNSTABLE,0,False
2026-03-19,20.3242,18.8392,23.3099,1.1469,0.9269,184.5098,NEUTRAL,NORMAL,UNSTABLE,0,False
2026-03-20,20.401,18.0959,23.1224,1.1334,0.887,215.0718,NEUTRAL,NORMAL,UNSTABLE,0,False
2026-03-23,21.4423,19.8263,40.5388,1.8906,0.9246,248.6538,SELL,NORMAL,UNSTABLE,1,True
2026-03-24,22.7209,20.7845,27.2651,1.2,0.9148,284.8812,NEUTRAL,NORMAL,UNSTABLE,0,False
2026-03-25,23.9988,21.2429,23.9447,0.9977,0.8852,326.8038,NEUTRAL,NORMAL,UNSTABLE,0,False
2026-03-27,24.5715,22.738,23.7907,0.9682,0.9254,362.0544,NEUTRAL,NORMAL,UNSTABLE,0,False
2026-03-30,25.1003,24.4108,5.2235,0.2081,0.9725,391.5451,BUY,NORMAL,UNSTABLE,0,False
2026-04-01,26.1706,24.6423,26.1902,1.0008,0.9416,424.2377,NEUTRAL,NORMAL,UNSTABLE,0,False
2026-04-02,26.1256,23.7674,24.2757,0.9292,0.9097,448.0924,NEUTRAL,NORMAL,UNSTABLE,0,False
2026-04-06,26.3472,23.4149,35.6427,1.3528,0.8887,448.9412,SELL,NORMAL,UNSTABLE,1,True
2026-04-07,26.041,23.0301,31.2492,1.2,0.8844,444.2814,NEUTRAL,NORMAL,UNSTABLE,0,False
2026-04-08,29.4562,24.9564,18.0299,0.6121,0.8472,461.2427,BUY,NORMAL,UNSTABLE,0,False
2026-04-09,28.9905,24.3117,19.8941,0.6862,0.8386,467.7087,BUY,NORMAL,UNSTABLE,0,False
2026-04-10,29.084,24.4584,15.4049,0.5297,0.841,466.1043,BUY,NORMAL,UNSTABLE,0,False
2026-04-13,28.6477,23.8456,1.9937,0.0696,0.8324,455.2883,BUY,NORMAL,UNSTABLE,0,False
2026-04-15,28.9677,24.3681,17.3768,0.5999,0.8412,436.0557,BUY,NORMAL,UNSTABLE,0,False
2026-04-16,27.7991,22.8255,15.6197,0.5619,0.8211,409.699,BUY,NORMAL,UNSTABLE,0,False
2026-04-17,27.6519,22.4596,14.3831,0.5201,0.8122,380.278,BUY,NORMAL,UNSTABLE,0,False
2026-04-20,27.5829,21.9141,23.8493,0.8646,0.7945,339.0634,NEUTRAL,TRENDING,UNSTABLE,0,False
2026-04-21,27.5943,21.9418,4.1075,0.1489,0.7952,289.5481,BUY,TRENDING,UNSTABLE,0,False
2026-04-22,24.6809,19.9531,17.5142,0.7096,0.8084,259.8551,BUY,NORMAL,UNSTABLE,0,False
